layer_height,extrusion,speed,layer_width,over-under
12,3,240,18.8,0
12,3,260,17.1,0
12,3,260,17.1,0
12,3,260,17.2,0
12,3,260,17.8,0
12,3,260,16.9,0
12,3,280,17.0,0
12,3,280,16.6,0
12,3,280,17.2,0
12,3,280,16.8,0
12,3,280,17.3,0
12,3,300,16.1,-1
12,3,300,17.2,-1
12,3,300,17.3,-1
12,3,300,16.5,-1
12,3,300,17.1,-1
15,3,60,52.3,0
15,3,60,52.0,0
15,3,60,52.2,0
15,3,60,51.8,0
15,3,60,51.2,0
15,3,80,38.3,0
15,3,80,38.7,0
15,3,80,39.1,0
15,3,80,39.4,0
15,3,80,38.2,0
15,3,100,31.3,0
15,3,100,31.6,0
15,3,100,32.5,0
15,3,100,31.8,0
15,3,100,31.7,0
15,3,120,26.2,0
15,3,120,27.1,0
15,3,120,27.0,0
15,3,120,27.0,0
15,3,120,26.5,0
15,3,140,23.2,0
15,3,140,23.1,0
15,3,140,23.1,0
15,3,140,23.0,0
15,3,140,23.4,0
15,3,160,21.2,0
15,3,160,21.3,0
15,3,160,21.7,0
15,3,160,21.2,0
15,3,160,21.0,0
15,3,180,20.0,0
15,3,180,20.2,0
15,3,180,20.4,0
15,3,180,19.7,0
15,3,180,19.6,0
15,3,200,18.2,0
15,3,200,18.2,0
15,3,200,18.1,0
15,3,200,18.4,0
15,3,200,18.6,0
15,3,220,17.5,0
15,3,220,17.3,0
15,3,220,17.1,0
15,3,220,17.4,0
15,3,220,17.9,0
18,3,40,62.2,1
18,3,40,61.5,1
18,3,40,59.7,1
18,3,40,56.1,1
18,3,40,62.5,1
18,3,60,43.6,0
18,3,60,43.5,0
18,3,60,43.7,0
18,3,60,44.2,0
18,3,60,44.0,0
18,3,80,33.7,0
18,3,80,33.5,0
18,3,80,33.4,0
18,3,80,34.3,0
18,3,80,33.7,0
18,3,100,27.7,0
18,3,100,27.9,0
18,3,100,27.5,0
18,3,100,27.5,0
18,3,100,27.8,0
18,3,120,25.3,0
18,3,120,24.8,0
18,3,120,25.1,0
18,3,120,25.2,0
18,3,120,24.8,0
18,3,140,24.2,0
18,3,140,23.8,0
18,3,140,24.3,0
18,3,140,24.3,0
18,3,140,23.7,0
18,3,160,20.8,0
18,3,160,19.9,0
18,3,160,20.7,0
18,3,160,20.7,0
18,3,160,21.5,0
5,2,120,50.9,1
5,2,120,51.6,1
5,2,120,47.3,1
5,2,120,48.6,1
5,2,120,46.5,1
5,2,140,42.2,1
5,2,140,43.4,1
5,2,140,43.8,1
5,2,140,45.3,1
5,2,140,40.6,1
5,2,160,36.3,1
5,2,160,35.5,1
5,2,160,38.3,1
5,2,160,37.5,1
5,2,160,36.1,1
5,2,180,34.3,1
5,2,180,34.7,1
5,2,180,34.7,1
5,2,180,37.8,1
5,2,180,34.6,1
5,2,200,31.5,0
5,2,200,31.6,0
5,2,200,31.5,0
5,2,200,31.5,0
5,2,200,32.5,0
5,2,220,29.9,0
5,2,220,30.0,0
5,2,220,29.7,0
5,2,220,30.1,0
5,2,220,28.8,0
5,2,240,28.7,0
5,2,240,26.9,0
5,2,240,26.6,0
5,2,240,26.0,0
5,2,240,26.7,0
5,2,260,25.8,0
5,2,260,25.0,0
5,2,260,26.1,0
5,2,260,25.6,0
5,2,260,25.7,0
5,2,280,23.4,0
5,2,280,22.8,0
5,2,280,23.0,0
5,2,280,23.2,0
5,2,280,24.3,0
5,2,300,22.9,0
5,2,300,22.0,0
5,2,300,22.9,0
5,2,300,23.3,0
5,2,300,22.3,0
5,2,320,21.5,0
5,2,320,20.8,0
5,2,320,20.7,0
5,2,320,20.8,0
5,2,320,20.8,0
5,2,340,21.0,0
5,2,340,20.5,0
5,2,340,20.3,0
5,2,340,20.1,0
5,2,340,20.5,0
5,2,360,20.1,0
5,2,360,19.2,0
5,2,360,18.9,0
5,2,360,18.9,0
5,2,360,19.3,0
5,2,380,18.5,-1
5,2,380,18.7,-1
5,2,380,18.8,-1
5,2,380,18.4,-1
5,2,380,18.3,-1
5,2,400,17.4,-1
5,2,400,17.8,-1
5,2,400,17.4,-1
5,2,400,18.1,-1
5,2,400,17.7,-1
