pallet,extrusion,layer_height,nn-formula,line,layer_width_intended,replicate,layer_width_measured,over-under
SA2,02,15,01,07,54,04,59.2,1
SA2,02,15,01,07,54,05,59,1
SA3,02,18,00,01,18,01,-1,-1
SA3,02,18,00,01,18,02,-1,-1
SA3,02,18,00,01,18,03,-1,-1
SA3,02,18,00,01,18,04,-1,-1
SA3,02,18,00,01,18,05,-1,-1
SA3,02,18,00,02,24,01,24,0
SA3,02,18,00,02,24,02,23.6,0
SA3,02,18,00,02,24,03,24,0
SA3,02,18,00,02,24,04,23.8,0
SA3,02,18,00,02,24,05,23.6,0
SA3,02,18,00,03,30,01,30.9,0
SA3,02,18,00,03,30,02,30,0
SA3,02,18,00,03,30,03,30.6,0
SA3,02,18,00,03,30,04,30,0
SA3,02,18,00,03,30,05,30.6,0
SA3,02,18,00,04,36,01,36.8,0
SA3,02,18,00,04,36,02,36.9,0
SA3,02,18,00,04,36,03,36.4,0
SA3,02,18,00,04,36,04,35.9,0
SA3,02,18,00,04,36,05,36.2,0
SA3,02,18,00,05,42,01,42.1,0
SA3,02,18,00,05,42,02,42.7,0
SA3,02,18,00,05,42,03,43.5,0
SA3,02,18,00,05,42,04,42.9,0
SA3,02,18,00,05,42,05,42.4,0
SA3,02,18,00,06,48,01,52.4,1
SA3,02,18,00,06,48,02,52.4,1
SA3,02,18,00,06,48,03,50,1
SA3,02,18,00,06,48,04,50.5,1
SA3,02,18,00,06,48,05,50.1,1
SA3,02,18,00,07,54,01,56.8,1
SA3,02,18,00,07,54,02,58.7,1
SA3,02,18,00,07,54,03,60.3,1
SA3,02,18,00,07,54,04,57.8,1
SA3,02,18,00,07,54,05,59,1
SA3,02,18,01,01,18,01,-1,-1
SA3,02,18,01,01,18,02,-1,-1
SA3,02,18,01,01,18,03,-1,-1
SA3,02,18,01,01,18,04,-1,-1
SA3,02,18,01,01,18,05,-1,-1
SA3,02,18,01,02,24,01,23.3,0
SA3,02,18,01,02,24,02,23.4,0
SA3,02,18,01,02,24,03,23.2,0
SA3,02,18,01,02,24,04,23.6,0
