pallet,layer_height,extrusion,run,speed,replicate,layer_width,over-under
L2L,12,2,7,160,5,19.4,0
L2L,12,2,8,180,1,18.2,0
L2L,12,2,8,180,2,16.7,0
L2L,12,2,8,180,3,17.2,0
L2L,12,2,8,180,4,17.2,0
L2L,12,2,8,180,5,18.5,0
L2L,12,2,9,200,1,16.8,0
L2L,12,2,9,200,2,16.9,0
L2L,12,2,9,200,3,16.2,0
L2L,12,2,9,200,4,16.2,0
L2L,12,2,9,200,5,16.5,0
L2L,12,2,10,220,1,-1,-1
L2L,12,2,10,220,2,-1,-1
L2L,12,2,10,220,3,-1,-1
L2L,12,2,10,220,4,-1,-1
L2L,12,2,10,220,5,-1,-1
L2L,12,2,11,240,1,-1,-1
L2L,12,2,11,240,2,-1,-1
L2L,12,2,11,240,3,-1,-1
L2L,12,2,11,240,4,-1,-1
L2L,12,2,11,240,5,-1,-1
L2L,12,2,12,260,1,-1,-1
L2L,12,2,12,260,2,-1,-1
L2L,12,2,12,260,3,-1,-1
L2L,12,2,12,260,4,-1,-1
L2L,12,2,12,260,5,-1,-1
L2L,12,2,13,280,1,-1,-1
L2L,12,2,13,280,2,-1,-1
L2L,12,2,13,280,3,-1,-1
L2L,12,2,13,280,4,-1,-1
L2L,12,2,13,280,5,-1,-1
L2L,12,2,14,300,1,-1,-1
L2L,12,2,14,300,2,-1,-1
L2L,12,2,14,300,3,-1,-1
L2L,12,2,14,300,4,-1,-1
L2L,12,2,14,300,5,-1,-1
L2L,12,2,15,320,1,-1,-1
L2L,12,2,15,320,2,-1,-1
L2L,12,2,15,320,3,-1,-1
L2L,12,2,15,320,4,-1,-1
L2L,12,2,15,320,5,-1,-1
L2L,12,2,16,340,1,-1,-1
L2L,12,2,16,340,2,-1,-1
L2L,12,2,16,340,3,-1,-1
L2L,12,2,16,340,4,-1,-1
L2L,12,2,16,340,5,-1,-1
L2L,12,2,17,360,1,-1,-1
L2L,12,2,17,360,2,-1,-1
L2L,12,2,17,360,3,-1,-1
L2L,12,2,17,360,4,-1,-1
L2L,12,2,17,360,5,-1,-1
L2L,12,2,18,380,1,-1,-1
L2L,12,2,18,380,2,-1,-1
L2L,12,2,18,380,3,-1,-1
L2L,12,2,18,380,4,-1,-1
L2L,12,2,18,380,5,-1,-1
L2L,12,2,19,400,1,-1,-1
L2L,12,2,19,400,2,-1,-1
L2L,12,2,19,400,3,-1,-1
L2L,12,2,19,400,4,-1,-1
L2L,12,2,19,400,5,-1,-1
SA2,15,2,1,40,1,53.2,1
SA2,15,2,1,40,2,51.2,1
SA2,15,2,1,40,3,53.5,1
SA2,15,2,1,40,4,50.7,1
SA2,15,2,1,40,5,48.6,1
SA2,15,2,2,60,1,36.3,0
SA2,15,2,2,60,2,36.5,0
SA2,15,2,2,60,3,36.7,0
SA2,15,2,2,60,4,37,0
SA2,15,2,2,60,5,36.1,0
SA2,15,2,3,80,1,28.6,0
SA2,15,2,3,80,2,28.2,0
SA2,15,2,3,80,3,28.4,0
SA2,15,2,3,80,4,28.3,0
SA2,15,2,3,80,5,28.8,0
SA2,15,2,4,100,1,23.2,0
SA2,15,2,4,100,2,23,0
SA2,15,2,4,100,3,23,0
SA2,15,2,4,100,4,23.6,0
SA2,15,2,4,100,5,23.2,0
SA2,15,2,5,120,1,20.3,0
SA2,15,2,5,120,2,20.3,0
SA2,15,2,5,120,3,20.2,0
SA2,15,2,5,120,4,20.6,0
SA2,15,2,5,120,5,20.5,0
SA2,15,2,6,140,1,18.6,0
SA2,15,2,6,140,2,18.5,0
SA2,15,2,6,140,3,18.3,0
SA2,15,2,6,140,4,18.3,0
SA2,15,2,6,140,5,18.1,0
SA2,15,2,7,160,1,-1,-1
SA2,15,2,7,160,2,-1,-1
SA2,15,2,7,160,3,-1,-1
SA2,15,2,7,160,4,-1,-1
SA2,15,2,7,160,5,-1,-1
SA2,15,2,8,180,1,-1,-1
SA2,15,2,8,180,2,-1,-1
SA2,15,2,8,180,3,-1,-1
SA2,15,2,8,180,4,-1,-1
SA2,15,2,8,180,5,-1,-1
SA2,15,2,9,200,1,-1,-1
SA2,15,2,9,200,2,-1,-1
SA2,15,2,9,200,3,-1,-1
SA2,15,2,9,200,4,-1,-1
SA2,15,2,9,200,5,-1,-1
SA2,15,2,10,220,1,-1,-1
SA2,15,2,10,220,2,-1,-1
SA2,15,2,10,220,3,-1,-1
SA2,15,2,10,220,4,-1,-1
SA2,15,2,10,220,5,-1,-1
SA2,15,2,11,240,1,-1,-1
SA2,15,2,11,240,2,-1,-1
SA2,15,2,11,240,3,-1,-1
SA2,15,2,11,240,4,-1,-1
SA2,15,2,11,240,5,-1,-1
SA2,15,2,12,260,1,-1,-1
SA2,15,2,12,260,2,-1,-1
SA2,15,2,12,260,3,-1,-1
SA2,15,2,12,260,4,-1,-1
SA2,15,2,12,260,5,-1,-1
SA2,15,2,13,280,1,-1,-1
SA2,15,2,13,280,2,-1,-1
SA2,15,2,13,280,3,-1,-1
SA2,15,2,13,280,4,-1,-1
SA2,15,2,13,280,5,-1,-1
SA2,15,2,14,300,1,-1,-1
SA2,15,2,14,300,2,-1,-1
SA2,15,2,14,300,3,-1,-1
SA2,15,2,14,300,4,-1,-1
SA2,15,2,14,300,5,-1,-1
SA2,15,2,15,320,1,-1,-1
SA2,15,2,15,320,2,-1,-1
SA2,15,2,15,320,3,-1,-1
SA2,15,2,15,320,4,-1,-1
SA2,15,2,15,320,5,-1,-1
SA2,15,2,16,340,1,-1,-1
SA2,15,2,16,340,2,-1,-1
SA2,15,2,16,340,3,-1,-1
SA2,15,2,16,340,4,-1,-1
SA2,15,2,16,340,5,-1,-1
SA2,15,2,17,360,1,-1,-1
SA2,15,2,17,360,2,-1,-1
SA2,15,2,17,360,3,-1,-1
SA2,15,2,17,360,4,-1,-1
SA2,15,2,17,360,5,-1,-1
SA2,15,2,18,380,1,-1,-1
SA2,15,2,18,380,2,-1,-1
SA2,15,2,18,380,3,-1,-1
SA2,15,2,18,380,4,-1,-1
SA2,15,2,18,380,5,-1,-1
SA2,15,2,19,400,1,-1,-1
SA2,15,2,19,400,2,-1,-1
SA2,15,2,19,400,3,-1,-1
SA2,15,2,19,400,4,-1,-1
SA2,15,2,19,400,5,-1,-1
SA3,18,2,1,40,1,38.3,0
SA3,18,2,1,40,2,40.6,0
SA3,18,2,1,40,3,42.5,0
SA3,18,2,1,40,4,38.6,0
SA3,18,2,1,40,5,39.6,0
SA3,18,2,2,60,1,29.1,0
SA3,18,2,2,60,2,28.4,0
SA3,18,2,2,60,3,28.7,0
SA3,18,2,2,60,4,28.9,0
SA3,18,2,2,60,5,29.4,0
SA3,18,2,3,80,1,23.1,0
SA3,18,2,3,80,2,23.4,0
SA3,18,2,3,80,3,23,0
SA3,18,2,3,80,4,23.4,0
SA3,18,2,3,80,5,23.4,0
SA3,18,2,4,100,1,20.6,0
SA3,18,2,4,100,2,20.6,0
SA3,18,2,4,100,3,20.6,0
SA3,18,2,4,100,4,20.7,0
SA3,18,2,4,100,5,20.7,0
SA3,18,2,5,120,1,18.5,0
SA3,18,2,5,120,2,18.5,0
SA3,18,2,5,120,3,18.6,0
SA3,18,2,5,120,4,18.5,0
SA3,18,2,5,120,5,18.4,0
SA3,18,2,6,140,1,-1,-1
SA3,18,2,6,140,2,-1,-1
SA3,18,2,6,140,3,-1,-1
SA3,18,2,6,140,4,-1,-1
SA3,18,2,6,140,5,-1,-1
SA3,18,2,7,160,1,-1,-1
SA3,18,2,7,160,2,-1,-1
SA3,18,2,7,160,3,-1,-1
SA3,18,2,7,160,4,-1,-1
SA3,18,2,7,160,5,-1,-1
SA3,18,2,8,180,1,-1,-1
SA3,18,2,8,180,2,-1,-1
SA3,18,2,8,180,3,-1,-1
SA3,18,2,8,180,4,-1,-1
SA3,18,2,8,180,5,-1,-1
SA3,18,2,9,200,1,-1,-1
SA3,18,2,9,200,2,-1,-1
SA3,18,2,9,200,3,-1,-1
SA3,18,2,9,200,4,-1,-1
SA3,18,2,9,200,5,-1,-1
SA3,18,2,10,220,1,-1,-1
SA3,18,2,10,220,2,-1,-1
SA3,18,2,10,220,3,-1,-1
SA3,18,2,10,220,4,-1,-1
SA3,18,2,10,220,5,-1,-1
SA3,18,2,11,240,1,-1,-1
SA3,18,2,11,240,2,-1,-1
SA3,18,2,11,240,3,-1,-1
SA3,18,2,11,240,4,-1,-1
SA3,18,2,11,240,5,-1,-1
SA3,18,2,12,260,1,-1,-1
SA3,18,2,12,260,2,-1,-1
SA3,18,2,12,260,3,-1,-1
SA3,18,2,12,260,4,-1,-1
SA3,18,2,12,260,5,-1,-1
SA3,18,2,13,280,1,-1,-1
SA3,18,2,13,280,2,-1,-1
SA3,18,2,13,280,3,-1,-1
SA3,18,2,13,280,4,-1,-1
SA3,18,2,13,280,5,-1,-1
SA3,18,2,14,300,1,-1,-1
SA3,18,2,14,300,2,-1,-1
SA3,18,2,14,300,3,-1,-1
SA3,18,2,14,300,4,-1,-1
SA3,18,2,14,300,5,-1,-1
SA3,18,2,15,320,1,-1,-1
SA3,18,2,15,320,2,-1,-1
SA3,18,2,15,320,3,-1,-1
SA3,18,2,15,320,4,-1,-1
SA3,18,2,15,320,5,-1,-1
SA3,18,2,16,340,1,-1,-1
SA3,18,2,16,340,2,-1,-1
SA3,18,2,16,340,3,-1,-1
SA3,18,2,16,340,4,-1,-1
SA3,18,2,16,340,5,-1,-1
SA3,18,2,17,360,1,-1,-1
SA3,18,2,17,360,2,-1,-1
SA3,18,2,17,360,3,-1,-1
SA3,18,2,17,360,4,-1,-1
SA3,18,2,17,360,5,-1,-1
SA3,18,2,18,380,1,-1,-1
SA3,18,2,18,380,2,-1,-1
SA3,18,2,18,380,3,-1,-1
SA3,18,2,18,380,4,-1,-1
SA3,18,2,18,380,5,-1,-1
SA3,18,2,19,400,1,-1,-1
SA3,18,2,19,400,2,-1,-1
SA3,18,2,19,400,3,-1,-1
SA3,18,2,19,400,4,-1,-1
SA3,18,2,19,400,5,-1,-1
SD1,5,3,1,40,1,-1,1
SD1,5,3,1,40,2,-1,1
SD1,5,3,1,40,3,-1,1
SD1,5,3,1,40,4,-1,1
SD1,5,3,1,40,5,-1,1
SD1,5,3,2,60,1,-1,1
SD1,5,3,2,60,2,-1,1
SD1,5,3,2,60,3,-1,1
SD1,5,3,2,60,4,-1,1
SD1,5,3,2,60,5,-1,1
SD1,5,3,3,80,1,-1,1
SD1,5,3,3,80,2,-1,1
SD1,5,3,3,80,3,-1,1
SD1,5,3,3,80,4,-1,1
SD1,5,3,3,80,5,-1,1
SD1,5,3,4,100,1,-1,1
SD1,5,3,4,100,2,-1,1
SD1,5,3,4,100,3,-1,1
SD1,5,3,4,100,4,-1,1
SD1,5,3,4,100,5,-1,1
SD1,5,3,5,120,1,-1,1
SD1,5,3,5,120,2,-1,1
SD1,5,3,5,120,3,-1,1
SD1,5,3,5,120,4,-1,1
SD1,5,3,5,120,5,-1,1
SD1,5,3,6,140,1,61.1,1
SD1,5,3,6,140,2,61.2,1
SD1,5,3,6,140,3,59.5,1
