pallet,extrusion,layer_height,nn-formula,line,layer_width_intended,replicate,layer_width_measured,over-under,exp_speed
SA3,2,18,1,1,18,4,-1.0,-1,131
SA3,2,18,1,1,18,5,-1.0,-1,131
SA3,2,18,1,2,24,1,23.3,0,92
SA3,2,18,1,2,24,2,23.4,0,92
SA3,2,18,1,2,24,3,23.2,0,92
SA3,2,18,1,2,24,4,23.6,0,92
SA3,2,18,1,2,24,5,23.4,0,92
SA3,2,18,1,3,30,1,30.7,0,71
SA3,2,18,1,3,30,2,29.7,0,71
SA3,2,18,1,3,30,3,30.0,0,71
SA3,2,18,1,3,30,4,30.1,0,71
SA3,2,18,1,3,30,5,29.4,0,71
SA3,2,18,1,4,36,1,35.7,0,58
SA3,2,18,1,4,36,2,35.5,0,58
SA3,2,18,1,4,36,3,35.1,0,58
SA3,2,18,1,4,36,4,35.4,0,58
SA3,2,18,1,4,36,5,35.4,0,58
SA3,2,18,1,5,42,1,41.6,0,49
SA3,2,18,1,5,42,2,42.0,0,49
SA3,2,18,1,5,42,3,41.5,0,49
SA3,2,18,1,5,42,4,41.6,0,49
SA3,2,18,1,5,42,5,41.6,0,49
SA3,2,18,1,6,48,1,47.5,1,42
SA3,2,18,1,6,48,2,47.7,1,42
SA3,2,18,1,6,48,3,48.4,1,42
SA3,2,18,1,6,48,4,48.1,1,42
SA3,2,18,1,6,48,5,47.6,1,42
SA3,2,18,1,7,54,1,52.6,1,37
SA3,2,18,1,7,54,2,53.3,1,37
SA3,2,18,1,7,54,3,53.7,1,37
SA3,2,18,1,7,54,4,53.3,1,37
SA3,2,18,1,7,54,5,54.0,1,37
SD1,3,5,0,1,18,1,-1.0,-1,591
SD1,3,5,0,1,18,2,-1.0,-1,591
SD1,3,5,0,1,18,3,-1.0,-1,591
SD1,3,5,0,1,18,4,-1.0,-1,591
SD1,3,5,0,1,18,5,-1.0,-1,591
SD1,3,5,0,2,24,1,27.4,0,436
SD1,3,5,0,2,24,2,25.6,0,436
SD1,3,5,0,2,24,3,25.1,0,436
SD1,3,5,0,2,24,4,25.4,0,436
SD1,3,5,0,2,24,5,25.2,0,436
SD1,3,5,0,3,30,1,34.1,0,346
SD1,3,5,0,3,30,2,32.7,0,346
SD1,3,5,0,3,30,3,33.6,0,346
SD1,3,5,0,3,30,4,33.5,0,346
SD1,3,5,0,3,30,5,33.0,0,346
SD1,3,5,0,4,36,1,39.4,1,286
SD1,3,5,0,4,36,2,40.0,1,286
SD1,3,5,0,4,36,3,41.3,1,286
SD1,3,5,0,4,36,4,41.3,1,286
SD1,3,5,0,4,36,5,40.0,1,286
SD1,3,5,0,5,42,1,48.2,1,244
SD1,3,5,0,5,42,2,49.0,1,244
SD1,3,5,0,5,42,3,50.0,1,244
SD1,3,5,0,5,42,4,47.7,1,244
SD1,3,5,0,5,42,5,48.3,1,244
SD1,3,5,0,6,48,1,53.6,1,213
SD1,3,5,0,6,48,2,53.6,1,213
SD1,3,5,0,6,48,3,53.0,1,213
SD1,3,5,0,6,48,4,53.6,1,213
SD1,3,5,0,6,48,5,53.8,1,213
SD1,3,5,0,7,54,1,59.4,1,189
SD1,3,5,0,7,54,2,58.2,1,189
SD1,3,5,0,7,54,3,59.6,1,189
SD1,3,5,0,7,54,4,60.3,1,189
SD1,3,5,0,7,54,5,60.8,1,189
SD1,3,5,1,1,18,1,-1.0,-1,591
SD1,3,5,1,1,18,2,-1.0,-1,591
SD1,3,5,1,1,18,3,-1.0,-1,591
SD1,3,5,1,1,18,4,-1.0,-1,591
SD1,3,5,1,1,18,5,-1.0,-1,591
SD1,3,5,1,2,24,1,26.6,0,436
SD1,3,5,1,2,24,2,26.0,0,436
SD1,3,5,1,2,24,3,25.6,0,436
SD1,3,5,1,2,24,4,25.4,0,436
SD1,3,5,1,2,24,5,25.6,0,436
SD1,3,5,1,3,30,1,34.5,0,346
SD1,3,5,1,3,30,2,34.2,0,346
SD1,3,5,1,3,30,3,33.7,0,346
SD1,3,5,1,3,30,4,33.6,0,346
SD1,3,5,1,3,30,5,33.0,0,346
SD1,3,5,1,4,36,1,40.8,1,286
SD1,3,5,1,4,36,2,43.2,1,286
SD1,3,5,1,4,36,3,42.8,1,286
SD1,3,5,1,4,36,4,41.4,1,286
SD1,3,5,1,4,36,5,41.3,1,286
SD1,3,5,1,5,42,1,47.0,1,244
SD1,3,5,1,5,42,2,47.1,1,244
SD1,3,5,1,5,42,3,46.2,1,244
SD1,3,5,1,5,42,4,46.0,1,244
SD1,3,5,1,5,42,5,47.3,1,244
SD1,3,5,1,6,48,1,54.9,1,213
SD1,3,5,1,6,48,2,53.7,1,213
SD1,3,5,1,6,48,3,53.3,1,213
SD1,3,5,1,6,48,4,53.7,1,213
SD1,3,5,1,6,48,5,53.3,1,213
SD1,3,5,1,7,54,1,58.5,1,189
SD1,3,5,1,7,54,2,56.5,1,189
SD1,3,5,1,7,54,3,57.4,1,189
SD1,3,5,1,7,54,4,58.2,1,189
SD1,3,5,1,7,54,5,57.7,1,189
SC,3,8,0,1,18,1,-1.0,-1,384
SC,3,8,0,1,18,2,-1.0,-1,384
SC,3,8,0,1,18,3,-1.0,-1,384
SC,3,8,0,1,18,4,-1.0,-1,384
SC,3,8,0,1,18,5,-1.0,-1,384
SC,3,8,0,2,24,1,26.1,0,280
SC,3,8,0,2,24,2,26.2,0,280
SC,3,8,0,2,24,3,26.3,0,280
SC,3,8,0,2,24,4,27.4,0,280
SC,3,8,0,2,24,5,26.6,0,280
SC,3,8,0,3,30,1,35.5,0,221
SC,3,8,0,3,30,2,33.6,0,221
SC,3,8,0,3,30,3,33.8,0,221
SC,3,8,0,3,30,4,34.3,0,221
SC,3,8,0,3,30,5,34.2,0,221
SC,3,8,0,4,36,1,42.1,0,182
SC,3,8,0,4,36,2,42.1,0,182
SC,3,8,0,4,36,3,42.6,0,182
SC,3,8,0,4,36,4,42.3,0,182
SC,3,8,0,4,36,5,41.9,0,182
SC,3,8,0,5,42,1,50.9,0,155
SC,3,8,0,5,42,2,50.0,0,155
SC,3,8,0,5,42,3,49.8,0,155
SC,3,8,0,5,42,4,49.5,0,155
SC,3,8,0,5,42,5,49.4,0,155
SC,3,8,0,6,48,1,55.1,1,135
SC,3,8,0,6,48,2,54.3,1,135
SC,3,8,0,6,48,3,56.8,1,135
SC,3,8,0,6,48,4,57.5,1,135
SC,3,8,0,6,48,5,58.0,1,135
SC,3,8,0,7,54,1,67.4,1,120
SC,3,8,0,7,54,2,66.8,1,120
SC,3,8,0,7,54,3,64.8,1,120
SC,3,8,0,7,54,4,66.4,1,120
SC,3,8,0,7,54,5,63.8,1,120
SC,3,8,1,1,18,1,-1.0,-1,384
SC,3,8,1,1,18,2,-1.0,-1,384
SC,3,8,1,1,18,3,-1.0,-1,384
SC,3,8,1,1,18,4,-1.0,-1,384
SC,3,8,1,1,18,5,-1.0,-1,384
SC,3,8,1,2,24,1,23.6,0,280
SC,3,8,1,2,24,2,24.7,0,280
SC,3,8,1,2,24,3,25.1,0,280
SC,3,8,1,2,24,4,26.1,0,280
SC,3,8,1,2,24,5,26.3,0,280
SC,3,8,1,3,30,1,32.8,0,221
SC,3,8,1,3,30,2,32.1,0,221
SC,3,8,1,3,30,3,32.0,0,221
SC,3,8,1,3,30,4,32.3,0,221
SC,3,8,1,3,30,5,32.2,0,221
SC,3,8,1,4,36,1,41.5,0,182
SC,3,8,1,4,36,2,40.5,0,182
SC,3,8,1,4,36,3,40.8,0,182
SC,3,8,1,4,36,4,41.0,0,182
SC,3,8,1,4,36,5,40.9,0,182
SC,3,8,1,5,42,1,48.0,0,155
SC,3,8,1,5,42,2,46.9,0,155
SC,3,8,1,5,42,3,47.2,0,155
SC,3,8,1,5,42,4,47.2,0,155
SC,3,8,1,5,42,5,47.2,0,155
SC,3,8,1,6,48,1,55.0,1,135
SC,3,8,1,6,48,2,56.1,1,135
SC,3,8,1,6,48,3,57.2,1,135
SC,3,8,1,6,48,4,55.2,1,135
SC,3,8,1,6,48,5,55.8,1,135
SC,3,8,1,7,54,1,59.5,1,120
SC,3,8,1,7,54,2,62.0,1,120
SC,3,8,1,7,54,3,60.4,1,120
SC,3,8,1,7,54,4,60.5,1,120
SC,3,8,1,7,54,5,62.9,1,120
L2R,3,10,0,1,18,1,17.8,-1,315
L2R,3,10,0,1,18,2,17.9,-1,315
L2R,3,10,0,1,18,3,18.1,-1,315
L2R,3,10,0,1,18,4,18.6,-1,315
L2R,3,10,0,1,18,5,18.9,-1,315
L2R,3,10,0,2,24,1,26.5,0,229
L2R,3,10,0,2,24,2,27.1,0,229
L2R,3,10,0,2,24,3,27.3,0,229
L2R,3,10,0,2,24,4,27.7,0,229
L2R,3,10,0,2,24,5,27.5,0,229
L2R,3,10,0,3,30,1,33.0,0,180
L2R,3,10,0,3,30,2,33.5,0,180
L2R,3,10,0,3,30,3,33.3,0,180
L2R,3,10,0,3,30,4,33.7,0,180
L2R,3,10,0,3,30,5,33.5,0,180
